"id","nome","grupo","composto","academia","tecnica_padrao","fonte","tipo_link_atual","link_atual","link_correto","ok"
"supino-inclinado-halter","Supino Inclinado com Halteres","peito","sim","ambos","excentrica-lenta","MusclePUMP Peito.md","busca","https://www.youtube.com/@laerciorefundini/search?query=supino%20inclinado%20halteres","",""
"supino-reto-halter","Supino Reto com Halteres","peito","sim","ambos","rest-pause","Treino Peito Monstro.md","busca","https://www.youtube.com/@laerciorefundini/search?query=supino%20reto%20halteres","",""
"supino-maquina","Supino Máquina","peito","sim","moderna","rest-pause","MusclePUMP Peito.md","busca","https://www.youtube.com/@laerciorefundini/search?query=supino%20m%C3%A1quina%20peito","",""
"crucifixo-inclinado","Crucifixo Inclinado com Halteres","peito","nao","ambos","isometria","peito-estufado-parte1.md","busca","https://www.youtube.com/@laerciorefundini/search?query=crucifixo%20inclinado%20halteres%20peito","",""
"cross-over","Cross Over (Polia Alta)","peito","nao","moderna","drop-set","MusclePUMP Peito.md","busca","https://www.youtube.com/@laerciorefundini/search?query=cross%20over%20polia%20peito","",""
"peck-deck","Peck Deck (Voador)","peito","nao","moderna","parciais","peito-estufado-parte2.md","busca","https://www.youtube.com/@laerciorefundini/search?query=peck%20deck%20voador%20peito","",""
"supino-declinado-halter","Supino Declinado com Halteres","peito","sim","ambos","excentrica-lenta","Treino Peito Monstro.md","busca","https://www.youtube.com/@laerciorefundini/search?query=supino%20declinado%20halteres","",""
"crucifixo-reto-halter","Crucifixo Reto com Halteres","peito","nao","ambos","drop-set","Treino Peito Monstro.md","busca","https://www.youtube.com/@laerciorefundini/search?query=crucifixo%20halter%20banco%20plano","",""
"puxada-frente","Puxada Frente (Pulley)","costas","sim","moderna","rest-pause","MusclePUMP Costas.md","busca","https://www.youtube.com/@laerciorefundini/search?query=puxada%20frente%20pulley%20costas","",""
"remada-unilateral","Remada Unilateral com Halter","costas","sim","ambos","isometria","Treino Dorsal Animal.md","busca","https://www.youtube.com/@laerciorefundini/search?query=remada%20unilateral%20halter","",""
"remada-curvada-halter","Remada Curvada com Halteres","costas","sim","ambos","rest-pause","MusclePUMP Costas.md","busca","https://www.youtube.com/@laerciorefundini/search?query=remada%20curvada%20halteres","",""
"remada-baixa","Remada Baixa Triângulo","costas","sim","moderna","drop-set","MusclePUMP Costas.md","busca","https://www.youtube.com/@laerciorefundini/search?query=remada%20baixa%20triangulo%20pulley","",""
"remada-maquina","Remada Máquina","costas","sim","moderna","drop-set","MusclePUMP Costas.md","busca","https://www.youtube.com/@laerciorefundini/search?query=remada%20m%C3%A1quina%20costas","",""
"pull-over-halter","Pull-Over com Halter","costas","nao","ambos","parciais","MusclePUMP Costas.md","busca","https://www.youtube.com/@laerciorefundini/search?query=pull%20over%20halter%20dorsal","",""
"levantamento-terra-halter","Levantamento Terra com Halteres","costas","sim","ambos","excentrica-lenta","Treino Dorsal Animal.md","busca","https://www.youtube.com/@laerciorefundini/search?query=levantamento%20terra%20halteres","",""
"puxada-pegada-fechada","Puxada Pegada Fechada","costas","sim","moderna","rest-pause","MusclePUMP Costas.md","busca","https://www.youtube.com/@laerciorefundini/search?query=puxada%20pegada%20fechada%20costas","",""
"remada-halter-banco","Remada Halter Apoiado","costas","sim","ambos","excentrica-lenta","MusclePUMP Costas.md","busca","https://www.youtube.com/@laerciorefundini/search?query=remada%20apoiado%20halteres%20dorsal","",""
"desenvolvimento-halter","Desenvolvimento com Halteres","ombro","sim","ambos","rest-pause","MusclePump Ombro.md","busca","https://www.youtube.com/@laerciorefundini/search?query=desenvolvimento%20halteres%20ombro","",""
"elevacao-lateral","Elevação Lateral com Halteres","ombro","nao","ambos","parciais","MusclePump Ombro.md","busca","https://www.youtube.com/@laerciorefundini/search?query=eleva%C3%A7%C3%A3o%20lateral%20halteres%20ombro","",""
"elevacao-frontal-halter","Elevação Frontal com Halter","ombro","nao","ambos","isometria","Treino Ombro Capacete.md","busca","https://www.youtube.com/@laerciorefundini/search?query=eleva%C3%A7%C3%A3o%20frontal%20halter%20ombro","",""
"crucifixo-invertido-halter","Crucifixo Invertido com Halteres","ombro","nao","ambos","isometria","MusclePump Ombro.md","busca","https://www.youtube.com/@laerciorefundini/search?query=crucifixo%20invertido%20halter%20ombro%20posterior","",""
"arnold-press","Arnold Press","ombro","sim","ambos","excentrica-lenta","MusclePump Ombro.md","busca","https://www.youtube.com/@laerciorefundini/search?query=arnold%20press%20halteres%20ombro","",""
"remada-alta-halter","Remada Alta com Halteres","ombro","sim","ambos","rest-pause","Treino Ombro Capacete.md","busca","https://www.youtube.com/@laerciorefundini/search?query=remada%20alta%20halteres%20ombro","",""
"elevacao-lateral-cabo","Elevação Lateral no Cabo","ombro","nao","moderna","drop-set","Treino Ombro Capacete.md","busca","https://www.youtube.com/@laerciorefundini/search?query=eleva%C3%A7%C3%A3o%20lateral%20cabo%20ombro","",""
"desenvolvimento-maquina","Desenvolvimento Máquina","ombro","sim","moderna","drop-set","Treino Ombro Capacete.md","busca","https://www.youtube.com/@laerciorefundini/search?query=desenvolvimento%20m%C3%A1quina%20ombro","",""
"rosca-alternada","Rosca Alternada com Halteres","biceps","nao","ambos","excentrica-lenta","Meu Braço Grande - Semana 1 , 2 e 3.md","busca","https://www.youtube.com/@laerciorefundini/search?query=rosca%20alternada%20halteres%20biceps","",""
"rosca-martelo","Rosca Martelo","biceps","nao","ambos","drop-set","MusclePump Biceps.md","busca","https://www.youtube.com/@laerciorefundini/search?query=rosca%20martelo%20halter%20biceps","",""
"rosca-scott-halter","Rosca Scott com Halteres","biceps","nao","ambos","parciais","Treino Braço Giga.md","busca","https://www.youtube.com/@laerciorefundini/search?query=rosca%20scott%20halteres%20biceps","",""
"rosca-concentrada","Rosca Concentrada","biceps","nao","ambos","isometria","Meu Braço Grande - Semana 4, 5 e 6..md","busca","https://www.youtube.com/@laerciorefundini/search?query=rosca%20concentrada%20halter%20biceps","",""
"rosca-cabo","Rosca no Cabo (Barra reta)","biceps","nao","moderna","drop-set","MusclePump Biceps.md","busca","https://www.youtube.com/@laerciorefundini/search?query=rosca%20cabo%20biceps","",""
"rosca-direta-halter","Rosca Direta com Halteres","biceps","nao","ambos","rest-pause","MusclePump Biceps.md","busca","https://www.youtube.com/@laerciorefundini/search?query=rosca%20direta%20halteres%20biceps","",""
"triceps-pulley","Tríceps na Polia (Corda)","triceps","nao","moderna","drop-set","MusclePUMP Tríceps.md","busca","https://www.youtube.com/@laerciorefundini/search?query=triceps%20pulley%20corda","",""
"triceps-frances-halter","Tríceps Francês com Halter","triceps","nao","ambos","excentrica-lenta","Treino Braço Giga.md","busca","https://www.youtube.com/@laerciorefundini/search?query=triceps%20franc%C3%AAs%20halter","",""
"triceps-coice-halter","Tríceps Coice com Halter","triceps","nao","ambos","isometria","MusclePUMP Tríceps.md","busca","https://www.youtube.com/@laerciorefundini/search?query=triceps%20coice%20halter","",""
"mergulho-paralelas","Mergulho nas Paralelas","triceps","sim","ambos","rest-pause","MusclePUMP Tríceps.md","busca","https://www.youtube.com/@laerciorefundini/search?query=mergulho%20paralelas%20tr%C3%ADceps","",""
"triceps-testa-halter","Tríceps Testa com Halteres","triceps","nao","ambos","rest-pause","MusclePUMP Tríceps.md","busca","https://www.youtube.com/@laerciorefundini/search?query=triceps%20testa%20halter","",""
"triceps-banco","Tríceps no Banco","triceps","sim","ambos","parciais","MusclePUMP Tríceps.md","busca","https://www.youtube.com/@laerciorefundini/search?query=tr%C3%ADceps%20banco%20fundos","",""
"agachamento-halter","Agachamento com Halteres","quadriceps","sim","ambos","rest-pause","MusclePUMP Quadríceps.md","busca","https://www.youtube.com/@laerciorefundini/search?query=agachamento%20halteres%20pernas","",""
"leg-press-45","Leg Press 45°","quadriceps","sim","moderna","drop-set","MusclePUMP Quadríceps.md","busca","https://www.youtube.com/@laerciorefundini/search?query=leg%20press%2045%20quadriceps","",""
"hack-machine","Hack Machine","quadriceps","sim","moderna","rest-pause","Treino Pernas Refundini.md","busca","https://www.youtube.com/@laerciorefundini/search?query=hack%20machine%20quadriceps","",""
"cadeira-extensora","Cadeira Extensora","quadriceps","nao","moderna","drop-set","MusclePUMP Quadríceps.md","busca","https://www.youtube.com/@laerciorefundini/search?query=cadeira%20extensora%20quadriceps","",""
"afundo-halter","Afundo (Lunge) com Halteres","quadriceps","sim","ambos","isometria","Treino Pernas Refundini.md","busca","https://www.youtube.com/@laerciorefundini/search?query=afundo%20lunge%20halteres","",""
"agachamento-bulgaro-halter","Agachamento Búlgaro com Halteres","quadriceps","sim","ambos","excentrica-lenta","Treino Pernas Refundini.md","busca","https://www.youtube.com/@laerciorefundini/search?query=agachamento%20b%C3%BAlgaro%20halteres","",""
"agachamento-sumô-halter","Agachamento Sumô com Halter","quadriceps","sim","ambos","rest-pause","Treino Pernas Refundini - Bunda Dura.md","busca","https://www.youtube.com/@laerciorefundini/search?query=agachamento%20sum%C3%B4%20halter","",""
"passada-halter","Passada Caminhando com Halteres","quadriceps","sim","ambos","drop-set","Treino Pernas Refundini.md","busca","https://www.youtube.com/@laerciorefundini/search?query=passada%20caminhando%20halteres%20pernas","",""
"stiff-halter","Stiff com Halteres","posterior","sim","ambos","excentrica-lenta","MusclePUMP Posterior de Coxa.md","busca","https://www.youtube.com/@laerciorefundini/search?query=stiff%20halteres%20posterior","",""
"mesa-flexora","Mesa Flexora","posterior","nao","moderna","drop-set","MusclePUMP Posterior de Coxa.md","busca","https://www.youtube.com/@laerciorefundini/search?query=mesa%20flexora%20posterior%20coxa","",""
"cadeira-flexora","Cadeira Flexora","posterior","nao","moderna","rest-pause","MusclePUMP Posterior de Coxa.md","busca","https://www.youtube.com/@laerciorefundini/search?query=cadeira%20flexora%20posterior","",""
"levantamento-romeno-halter","Levantamento Romeno (RDL) com Halteres","posterior","sim","ambos","excentrica-lenta","Treino Pernas Refundini.md","busca","https://www.youtube.com/@laerciorefundini/search?query=levantamento%20romeno%20halteres%20RDL","",""
"good-morning-halter","Good Morning com Halteres","posterior","sim","ambos","isometria","MusclePUMP Posterior de Coxa.md","busca","https://www.youtube.com/@laerciorefundini/search?query=good%20morning%20halteres%20posterior","",""
"flexora-unilateral","Flexora Unilateral em Pé","posterior","nao","moderna","parciais","MusclePUMP Posterior de Coxa.md","busca","https://www.youtube.com/@laerciorefundini/search?query=flexora%20unilateral%20posterior","",""
"hip-thrust-halter","Hip Thrust com Halter","gluteo","sim","ambos","isometria","Treino Bunda Dura.md","busca","https://www.youtube.com/@laerciorefundini/search?query=hip%20thrust%20gl%C3%BAteo","",""
"elevacao-pelvica","Elevação Pélvica no Chão","gluteo","sim","ambos","rest-pause","Treino Bunda Dura.md","busca","https://www.youtube.com/@laerciorefundini/search?query=eleva%C3%A7%C3%A3o%20p%C3%A9lvica%20gl%C3%BAteo","",""
"coice-quadrupede","Coice Quadrúpede com Halter","gluteo","nao","ambos","drop-set","Treino Bunda Dura.md","busca","https://www.youtube.com/@laerciorefundini/search?query=coice%20quadrupede%20gl%C3%BAteo%20halter","",""
"abducao-maquina","Abdução na Máquina","gluteo","nao","moderna","drop-set","Treino Bunda Dura.md","busca","https://www.youtube.com/@laerciorefundini/search?query=abdu%C3%A7%C3%A3o%20m%C3%A1quina%20gl%C3%BAteo%20m%C3%A9dio","",""
"agachamento-bulgaro-gluteo","Agachamento Búlgaro (foco glúteo)","gluteo","sim","ambos","isometria","Treino Pernas Refundini - Bunda Dura.md","busca","https://www.youtube.com/@laerciorefundini/search?query=agachamento%20b%C3%BAlgaro%20gl%C3%BAteo","",""
"abducao-deitar","Abdução Deitada com Elástico","gluteo","nao","ambos","parciais","Treino Bunda Dura.md","busca","https://www.youtube.com/@laerciorefundini/search?query=abdu%C3%A7%C3%A3o%20deitada%20el%C3%A1stico%20gl%C3%BAteo","",""
"panturrilha-em-pe-halter","Panturrilha em Pé com Halteres","panturrilha","nao","ambos","isometria","MusclePUMP Panturrilha.md","busca","https://www.youtube.com/@laerciorefundini/search?query=panturrilha%20p%C3%A9%20halteres","",""
